Country,Geographic_spread,Intensity,Impact_on_healthcare_services,Cases_underestimate,Cases_confirmed_clean,Deaths_confirmed_clean
United States,W,**,mod,1,"113,690","3,433"
Brazil,R,*,mod,1,"58,178","2,135"
India,W,*,low,0,"33,783","2,024"
Mexico,W,**,mod,0,"70,715","1,316"
China,,,,0,"120,940",800
Turkey,R,**,mod,0,"12,316",656
Argentina,W,,low,1,"11,458",626
Russia,W,**,,0,"25,339",604
United Kingdom,R,*,,1,"28,456",474
Canada,W,**,,1,"25,828",429
France,R,*,low,0,"1,980,000",344
Spain,W,*,,1,"1,538",300
Egypt,,,,0,"15,812",278
Germany,N,,low,1,"222,360",258
South Korea,W,*,low,0,"107,939",250
Thailand,R,*,low,0,"31,902",249
Italy,W,**,,0,"3,064,933",244
Colombia,W,*,mod,0,"4,310",272
Peru,W,*,low,0,"9,165",223
Ukraine,R,**,mod,0,494,213
Ecuador,W,*,low,0,"2,251",200
Japan,W,,,0,"11,636",198
Australia,W,,,0,"37,484",187
Poland,W,**,mod,1,"2,024",181
Chile,W,,low2,0,"12,258",156
Syria,,,,1,452,152
Greece,N,*,,1,"17,977",149
Iran,,,,0,"3,672",147
Venezuela,W,*,mod,0,"2,187",135
Hungary,L,,low,1,283,134
Saudi Arabia,,,,0,"14,500",128
Portugal,R,*,low,1,"166,922",122
Romania,W,*,mod,0,"7,006",122
Czech Republic,L,,,0,"2,445",102
Israel,W,*,low,0,"4,330",94
South Africa,,,,0,"12,640",93
Malaysia,,,,0,"12,210",92
Belarus,W,**,mod,0,102,88
Serbia,R,**,low,0,695,83
Hong Kong,,,,0,"33,109",80
Cuba,W,**,mod,0,973,69
Costa Rica,W,*,low,1,"1,867",67
Morocco,,,,0,"2,890",64
Netherlands,W,*,low,1,"1,473",62
Bolivia,W,*,low,0,"2,310",59
Vietnam,,,,0,"11,186",58
Algeria,,,,0,916,57
Finland,W,**,,0,"6,122",56
Slovakia,S,,low,0,955,56
Paraguay,L,**,,0,855,54
New Zealand,L,*,low,1,"3,199",50
Taiwan,,,,1,"5,474",48
Sri Lanka,W,*,low,0,642,48
Moldova,,,,0,"2,524",46
Palestinian Territories,,,,0,"1,676",43
Iraq,,,,0,"2,880",42
Austria,W,,low,1,964,40
Bulgaria,W,***,,0,766,40
