Rank,Country,Rate_per_100000
1,Sierra Leone,234.45
2,Nigeria,228.17
3,Chad,204.33
4,Cote d Ivoire,198.5
5,Angola,176.7
6,Niger,165.84
7,Central Africa,163.65
8,Benin,159.6
9,Somalia,156.01
10,Togo,155.35
11,Gambia,154.66
12,Burkina Faso,149.88
13,Guinea-Bissau,146.18
14,Guinea,144.82
15,Ghana,144.64
16,Cameroon,144.06
17,Equ. Guinea,141.17
18,Mauritania,138.44
19,Comoros,128.67
20,DR Congo,128.08
21,Burundi,124.96
22,Liberia,124.54
23,South Sudan,124.14
24,Philippines,115.96
25,Lesotho,109.31
26,Eritrea,106.78
27,Swaziland,101.17
28,Sao Tome,101.05
29,Zimbabwe,100.65
30,Tanzania,99.87
31,Malawi,99.74
32,Djibouti,98.96
33,Gabon,97.67
34,Uganda,97.38
35,Senegal,95.11
36,Namibia,93.99
37,Rwanda,91.82
38,New Guinea,91.01
39,Peru,90.3
40,Zambia,90
41,Kenya,89.41
42,Mozambique,87.67
43,Congo,87.33
44,Ethiopia,86.8
45,Grenada,86.5
46,South Africa,86.33
47,Haiti,84.39
48,Madagascar,83.91
49,Cape Verde,83.78
50,Botswana,82.52
51,Mali,79.71
52,Bolivia,75.86
53,Laos,75.1
54,Malaysia,74.61
55,Timor-Leste,71.87
56,Singapore,70.09
57,Thailand,69.87
58,Kiribati,69.72
59,Seychelles,69.41
60,Guatemala,66.66
61,Afghanistan,64.21
62,India,64.03
63,Barbados,62.8
64,Sudan,60.13
65,Belize,58.8
66,Kuwait,58.28
67,Cambodia,57.85
68,Guyana,56.31
69,Yemen,54.48
70,Saint Vincent,53.89
71,Argentina,52.66
72,Solomon Isl.,52.17
73,Tonga,52.09
74,Micronesia,50.36
75,Saudi Arabia,49.64
76,Tajikistan,48.9
77,Nepal,47.23
78,Myanmar,47.16
79,Bhutan,44.36
80,Vanuatu,43.81
81,Brazil,42.96
82,El Salvador,42.07
83,Fiji,40.02
84,Pakistan,39.45
85,Oman,39.11
86,Ecuador,38.7
87,Samoa,37.72
88,Suriname,36.69
89,Morocco,34.97
90,Japan,34.54
91,Libya,33.38
92,Paraguay,32.65
93,Tunisia,32.53
94,Turkmenistan,32.3
95,Saint Lucia,32.22
96,Cuba,31.07
97,Antigua/Bar.,30.87
98,Portugal,29.81
99,Egypt,29.13
100,Algeria,27.82
101,Russia,27.61
102,Uruguay,26.73
103,Indonesia,26.72
104,Bahamas,26.64
105,Kazakhstan,26.61
106,Brunei,26.19
107,Trinidad and Tobago,25.74
108,United Arab Emirates,25.54
109,Nicaragua,24.91
110,Uzbekistan,24.69
111,Panama,24.46
112,Romania,24.27
113,Belgium,24.22
114,Venezuela,24.12
115,Sri Lanka,24
116,Dominican Republic,23.83
117,Vietnam,23.39
118,Syria,23.17
119,United Kingdom,23.01
120,Jordan,22.75
121,North Korea,22.68
122,Iraq,22.66
123,Moldova,22.6
124,Mauritius,22.44
125,Bangladesh,21.99
126,Israel,21.91
127,Slovakia,21.91
128,Bahrain,21.41
129,Colombia,20.91
130,Chile,20.32
131,South Korea,19.84
132,Malta,19.76
133,Iran,19.67
134,Norway,19.62
135,Mexico,19.52
136,Azerbaijan,19.02
137,Maldives,18.56
138,Jamaica,18.29
139,Poland,17.56
140,Denmark,17.12
141,Honduras,16.61
142,Ireland,15.91
143,Mongolia,15.64
144,Sweden,15.57
145,Czech Republic,15.51
146,Slovenia,15.28
147,United States,14.91
148,China,14.69
149,Netherlands,14.56
150,Bulgaria,14.56
151,Turkey,14.43
152,France,14.1
153,Costa Rica,13.81
154,Latvia,12.99
155,Luxembourg,12.46
156,Iceland,11.9
157,Kyrgyzstan,11.82
158,Lithuania,11.59
159,Albania,11.29
160,Qatar,11.21
161,Greece,11.16
162,New Zealand,10.98
163,Germany,10.86
164,Georgia,10.24
165,Spain,10.21
166,Switzerland,10.19
167,Estonia,10.18
168,Armenia,9.9
169,Australia,9.68
170,Canada,9.34
171,Ukraine,9.02
172,Lebanon,8.57
173,Serbia,8.21
174,Cyprus,8.19
175,Italy,8.15
176,Bosnia/Herzeg.,7.25
177,Croatia,7.08
178,Montenegro,6.49
179,Hungary,6.1
180,Belarus,5.19
181,North Macedonia,4.58
182,Austria,4.27
183,Finland,2.91
