Country/region,At birth CIA estimate 2020,0–14 years,15–24 years,25–54 years,55–64 years,over 65,total
 Zimbabwe,1.03,1.02,1.02,1.1,0.58,0.64,1.01
 Zambia,1.03,1.01,1,1.02,0.88,0.76,1
 Yemen,1.05,1.04,1.03,1.05,0.85,0.87,1.02
 Western Sahara,1.04,1.02,1.01,0.97,0.87,0.78,0.99
 West Bank/Palestine,1.06,1.05,1.04,1.03,1.06,0.73,1.04
 Wallis and Futuna (France),1.05,1.09,1.11,1.01,0.97,0.92,1.03
 Vietnam,1.11,1.11,1.08,1.01,0.85,0.63,1
 Venezuela,1.05,1.05,1.03,0.98,0.92,0.79,0.99
 Vanuatu,1.05,1.04,0.99,0.96,1,1.04,1
 Uzbekistan,1.06,1.05,1.03,0.99,0.9,0.74,0.99
 Uruguay,1.04,1.04,1.03,0.98,0.89,0.66,0.94
 United States Virgin Islands (US),1.06,1.02,0.82,0.82,0.93,0.83,0.87
 United States,1.05,1.04,1.05,1,0.93,0.79,0.97
 United Kingdom,1.05,1.05,1.04,1.04,0.98,0.81,0.99
 United Arab Emirates,1.05,1.05,1.47,3.2,2.93,1.69,2.18
 Ukraine,1.06,1.06,1.05,0.96,0.75,0.5,0.86
 Uganda,1.03,1,0.98,1,0.93,0.79,0.99
 Tuvalu,1.05,1.05,1.1,0.99,0.69,0.69,0.98
 Turks and Caicos Islands (UK),1.05,1.04,0.97,1.02,1.18,0.8,1.02
 Turkmenistan,1.05,1.03,1.01,0.98,0.89,0.77,0.98
 Turkey,1.05,1.05,1.04,1.03,0.99,0.8,1.01
 Tunisia,1.07,1.06,1.01,0.94,1.03,0.97,0.99
 Trinidad and Tobago,1.03,1.04,1.09,1.09,0.99,0.77,1.03
 Tonga,1.03,1.03,1.05,1,0.98,0.84,1.01
 Togo,1.03,1.01,1,0.99,0.89,0.76,0.98
 Timor-Leste,1.07,1.06,1.03,0.93,1.04,0.91,1.01
 Thailand,1.05,1.05,1.04,0.98,0.89,0.78,0.97
 Tanzania,1.03,1.02,1,1.01,0.78,0.75,0.99
 Tajikistan,1.05,1.04,1.03,0.98,0.85,0.72,0.99
 Taiwan,1.07,1.06,1.05,1,0.96,0.86,0.99
 Syria,1.06,1.05,1.03,0.99,0.98,0.82,1.01
  Switzerland,1.06,1.06,1.04,1.01,1,0.78,0.97
 Sweden,1.06,1.06,1.06,1.03,1.01,0.85,1
 Suriname,1.05,1.04,1.04,1.04,0.96,0.76,1.01
 Sudan,1.05,1.03,1.06,0.94,1.1,1.19,1.02
 Sri Lanka,1.04,1.04,1.03,0.96,0.86,0.74,0.96
 Spain,1.07,1.06,1.07,1.04,0.95,0.74,0.98
 South Sudan,,,,,,,
 South Africa,1.02,1.01,0.98,1.02,0.87,0.73,0.98
 Somalia,1.03,1,1.02,1.07,0.96,0.64,1.01
 Solomon Islands,1.05,1.06,1.06,1.04,1.02,0.92,1.04
 Slovenia,1.07,1.06,1.05,1.02,0.97,0.68,0.95
 Slovakia,1.07,1.05,1.06,1.02,0.9,0.62,0.94
 Sint Maarten (Netherlands),1.05,1.09,0.98,0.95,0.92,0.92,0.98
 Singapore,1.07,1.05,0.97,0.95,1,0.83,0.96
 Sierra Leone,1.03,1,0.94,0.92,0.86,0.73,0.95
 Seychelles,1.03,1.05,1.1,1.12,1.06,0.64,1.06
